"month";"mean"
"1944-сен";12,9
"1944-окт";5,1
"1944-ноя";-2
"1944-дек";-8,8
"1945-янв";-10,6
"1945-фев";-9,2
"1945-мар";-5,7
"1945-апр";3,6
"1945-май";8,4
"1945-июн";15,2
"1945-июл";18,1
"1945-авг";17,6
"1945-сен";11
"1945-окт";2,6
"1945-ноя";-3,2
"1945-дек";-9,8
"1946-янв";-8
"1946-фев";-9,2
"1946-мар";-4,1
"1946-апр";4,4
"1946-май";11,1
"1946-июн";20
"1946-июл";18,6
"1946-авг";18,4
"1946-сен";11,1
"1946-окт";0,1
"1946-ноя";-3,8
"1946-дек";-7,8
"1947-янв";-10,3
"1947-фев";-14,4
"1947-мар";-4,8
"1947-апр";4,9
"1947-май";10,7
"1947-июн";17,3
"1947-июл";18,2
"1947-авг";16,6
"1947-сен";11,7
"1947-окт";3,2
"1947-ноя";-1,5
"1947-дек";-3,8
"1948-янв";-7,8
"1948-фев";-10,7
"1948-мар";-4,4
"1948-апр";5,9
"1948-май";15,3
"1948-июн";20
"1948-июл";16,4
"1948-авг";17,5
"1948-сен";11
"1948-окт";4,6
"1948-ноя";-1,6
"1948-дек";-4,7
"1949-янв";-3,8
"1949-фев";-7,4
"1949-мар";-2,6
"1949-апр";4,5
"1949-май";15,2
"1949-июн";16,8
"1949-июл";17,3
"1949-авг";16,2
"1949-сен";12,1
"1949-окт";5,1
"1949-ноя";-0,4
"1949-дек";-4,4
"1950-янв";-18
"1950-фев";-6,7
"1950-мар";-2,1
"1950-апр";9,2
"1950-май";11,8
"1950-июн";14,8
"1950-июл";15,7
"1950-авг";13,9
"1950-сен";12
"1950-окт";4,9
"1950-ноя";-0,5
"1950-дек";-5,6
"1951-янв";-12,1
"1951-фев";-12,2
"1951-мар";-4
"1951-апр";8,4
"1951-май";9,8
"1951-июн";17,7
"1951-июл";18,6
"1951-авг";18,3
"1951-сен";12
"1951-окт";2,8
"1951-ноя";-4,8
"1951-дек";-1,2
"1952-янв";-4,2
"1952-фев";-7,1
"1952-мар";-9,1
"1952-апр";5,2
"1952-май";10,4
"1952-июн";17,4
"1952-июл";17,9
"1952-авг";16,8
"1952-сен";12,2
"1952-окт";3,9
"1952-ноя";-1,2
"1952-дек";-5,9
"1953-янв";-10,4
"1953-фев";-15,6
"1953-мар";-2,6
"1953-апр";7,2
"1953-май";11,6
"1953-июн";19,2
"1953-июл";19
"1953-авг";17,3
"1953-сен";10
"1953-окт";5,8
"1953-ноя";-3,2
"1953-дек";-5,6
"1954-янв";-14,3
"1954-фев";-14
"1954-мар";-3,4
"1954-апр";3
"1954-май";12,9
"1954-июн";19
"1954-июл";21
"1954-авг";18,4
"1954-сен";12,3
"1954-окт";5,7
"1954-ноя";-1,6
"1954-дек";-5
"1955-янв";-6,3
"1955-фев";-6,8
"1955-мар";-4,7
"1955-апр";1,5
"1955-май";10,5
"1955-июн";15,1
"1955-июл";17,9
"1955-авг";17,9
"1955-сен";13,9
"1955-окт";7,7
"1955-ноя";-3
"1955-дек";-14,3
"1956-янв";-10,9
"1956-фев";-18,5
"1956-мар";-3,6
"1956-апр";4
"1956-май";10,7
"1956-июн";20,6
"1956-июл";15,2
"1956-авг";14,6
"1956-сен";8,4
"1956-окт";4,7
"1956-ноя";-5,2
"1956-дек";-4,2
"1957-янв";-6
"1957-фев";-1,8
"1957-мар";-6,3
"1957-апр";6,6
"1957-май";14,4
"1957-июн";15,2
"1957-июл";18,6
"1957-авг";17,1
"1957-сен";12,4
"1957-окт";5,2
"1957-ноя";-0,9
"1957-дек";-4,6
"1958-янв";-7
"1958-фев";-7,7
"1958-мар";-6
"1958-апр";4,1
"1958-май";13,3
"1958-июн";14,9
"1958-июл";18,4
"1958-авг";15,7
"1958-сен";9,1
"1958-окт";6
"1958-ноя";-0,8
"1958-дек";-7,6
"1959-янв";-4,4
"1959-фев";-5,5
"1959-мар";-1,4
"1959-апр";6,6
"1959-май";11,5
"1959-июн";16,9
"1959-июл";20,6
"1959-авг";16,9
"1959-сен";8,2
"1959-окт";2,2
"1959-ноя";-5,1
"1959-дек";-11
"1960-янв";-9,4
"1960-фев";-7,6
"1960-мар";-5,5
"1960-апр";5
"1960-май";11,6
"1960-июн";18,5
"1960-июл";21
"1960-авг";16,2
"1960-сен";9,8
"1960-окт";2,3
"1960-ноя";-3,6
"1960-дек";0,2
"1961-янв";-6,2
"1961-фев";-2,4
"1961-мар";0,2
"1961-апр";4,3
"1961-май";12,1
"1961-июн";19,2
